date,location,location_name,value
2022-04-22,1001,Autauga County,1.4375
2022-04-22,1003,Baldwin County,1.3925
2022-04-22,1009,Blount County,1.39
2022-04-22,1015,Calhoun County,1.4025
2022-04-22,1017,Chambers County,0.925
2022-04-22,1021,Chilton County,1.305
2022-04-22,1031,Coffee County,1.6525
2022-04-22,1033,Colbert County,1.315
2022-04-22,1039,Covington County,1.23
2022-04-22,1043,Cullman County,1.48
2022-04-22,1045,Dale County,1.79
2022-04-22,1047,Dallas County,1.025
2022-04-22,1049,DeKalb County,1.49
2022-04-22,1051,Elmore County,1.3275
2022-04-22,1053,Escambia County,1.3625
2022-04-22,1055,Etowah County,1.4325
2022-04-22,1069,Houston County,1.4575
2022-04-22,1071,Jackson County,0.7825
2022-04-22,1073,Jefferson County,1.6875
2022-04-22,1077,Lauderdale County,1.325
2022-04-22,1081,Lee County,1.5825
2022-04-22,1083,Limestone County,1.3225
2022-04-22,1089,Madison County,1.645
2022-04-22,1095,Marshall County,1.575
2022-04-22,1097,Mobile County,1.4775
2022-04-22,1101,Montgomery County,1.4525
2022-04-22,1103,Morgan County,1.5375
2022-04-22,1109,Pike County,1.85
2022-04-22,1113,Russell County,1.2075
2022-04-22,1115,St. Clair County,1.295
2022-04-22,1117,Shelby County,1.5075
2022-04-22,1121,Talladega County,1.1325
2022-04-22,1123,Tallapoosa County,1.0675
2022-04-22,1125,Tuscaloosa County,1.4575
2022-04-22,1127,Walker County,1.355
2022-04-22,2020,Anchorage Municipality,1.745
2022-04-22,2090,Fairbanks North Star Borough,2.0475
2022-04-22,2110,Juneau City and Borough,1.17
2022-04-22,2122,Kenai Peninsula Borough,1.78
2022-04-22,2170,Matanuska-Susitna Borough,1.395
2022-04-22,4001,Apache County,1.5425
2022-04-22,4003,Cochise County,1.3825
2022-04-22,4005,Coconino County,1.7575
2022-04-22,4007,Gila County,1.315
2022-04-22,4009,Graham County,1.3725
2022-04-22,4013,Maricopa County,1.505
2022-04-22,4015,Mohave County,1.5975
2022-04-22,4017,Navajo County,1.3825
2022-04-22,4019,Pima County,1.59
2022-04-22,4021,Pinal County,1.595
2022-04-22,4023,Santa Cruz County,1.335
