date,location,location_name,value
2020-10-15,44,Rhode Island,4
2020-10-14,78,Virgin Islands,0
2020-10-13,54,West Virginia,26
2020-10-11,78,Virgin Islands,0
2020-10-10,48,Texas,650
2020-10-09,50,Vermont,0
2020-10-07,02,Alaska,8
2020-10-06,02,Alaska,11
2020-10-05,01,Alabama,126
2020-10-05,78,Virgin Islands,0
2020-10-04,78,Virgin Islands,0
2020-10-01,50,Vermont,0
2020-09-30,50,Vermont,0
2020-09-29,78,Virgin Islands,0
2020-09-28,78,Virgin Islands,0
2020-09-25,78,Virgin Islands,0
2020-09-22,78,Virgin Islands,0
2020-09-21,50,Vermont,0
2020-09-20,78,Virgin Islands,0
2020-09-17,78,Virgin Islands,0
2020-09-09,78,Virgin Islands,0
2020-09-08,50,Vermont,1
2020-09-05,49,Utah,16
2020-09-01,44,Rhode Island,6
2020-08-28,44,Rhode Island,11
2020-08-27,44,Rhode Island,11
2020-08-26,10,Delaware,6
2020-08-24,78,Virgin Islands,3
2020-08-23,78,Virgin Islands,4
2020-08-22,78,Virgin Islands,5
2020-08-20,02,Alaska,15
2020-08-20,38,North Dakota,9
2020-08-19,78,Virgin Islands,5
2020-08-17,10,Delaware,9
2020-08-16,33,New Hampshire,28
2020-08-14,78,Virgin Islands,6
2020-08-07,78,Virgin Islands,6
2020-08-01,78,Virgin Islands,6
2020-07-30,78,Virgin Islands,6
2020-07-28,38,North Dakota,16
2020-07-27,31,Nebraska,4
2020-07-25,46,South Dakota,2
2020-07-23,15,Hawaii,4
2020-07-22,10,Delaware,10
2020-07-14,45,South Carolina,103
2022-06-24,60,American Samoa,1
2022-06-23,56,Wyoming,8
2022-06-21,60,American Samoa,2
2022-06-19,60,American Samoa,2
2022-06-18,60,American Samoa,2
2022-06-17,60,American Samoa,2
2022-06-16,60,American Samoa,2
2022-06-13,60,American Samoa,2
2022-06-11,60,American Samoa,2
2022-06-10,60,American Samoa,4
2022-06-08,60,American Samoa,4
2022-06-06,60,American Samoa,4
2022-06-05,02,Alaska,27
2022-06-03,60,American Samoa,4
2022-06-02,60,American Samoa,5
2022-06-01,60,American Samoa,5
2022-05-30,56,Wyoming,18
2022-05-29,60,American Samoa,5
2022-05-28,60,American Samoa,5
2022-05-26,60,American Samoa,6
2022-05-25,60,American Samoa,8
2022-05-23,60,American Samoa,12
2022-05-21,60,American Samoa,13
2022-05-21,56,Wyoming,20
2022-05-18,60,American Samoa,13
2022-05-17,60,American Samoa,13
2022-05-16,60,American Samoa,13
2022-05-15,60,American Samoa,13
2022-05-13,60,American Samoa,13
2022-05-12,02,Alaska,34
2022-05-10,60,American Samoa,13
2022-05-09,60,American Samoa,13
2022-05-08,60,American Samoa,13
2022-05-07,02,Alaska,42
2022-05-06,02,Alaska,49
2022-05-05,60,American Samoa,13
2022-05-04,60,American Samoa,13
2022-05-02,60,American Samoa,13
2022-05-01,60,American Samoa,13
2022-05-01,49,Utah,24
2022-04-30,60,American Samoa,13
2022-04-30,56,Wyoming,23
2022-04-28,54,West Virginia,40
2022-04-27,60,American Samoa,13
